order,RoomTemp,Humidity,Age,enclosure,Time,location-pink,location-orange,location-green,location-black,location-purple,location-navy,sum,Carton-pink,Carton-orange,Carton-green,Carton-black,Carton-purple,Carton-navy,,
1,25,46,8,1,7:10,1.5,5,1.5,6,3.5,3.5,21,on,on,on,on,on,on,,
1,25,46,8,1,7:40,3,5,4,6,1.5,1.5,21,on,on,on,off,on,on,,
1,25,46,8,1,8:10,1,5,2,4,6,3,21,on,on,on,on,on,on,,
1,25,46,8,1,8:40,2,3,5,4,1,6,21,on,on,on,on,on,off,,
1,25,46,8,1,0:20,1,2,4,5,3,6,21,on,on,on,on,on,on,,
1,25,46,8,1,0:50,1.5,6,3,1.5,5,4,21,on,off,on,on,on,on,,
1,25,46,8,1,1:20,1,3,4,2,5,6,21,on,on,on,on,on,off,,
1,25,46,8,1,,16.5,41,37.5,44,34,37,210,1,0.8,0.9,0.8,1,0.8,,
1,25,46,8,2,5:37,4,2.5,2.5,6,1,5,21,on,on,on,off,on,off,,
1,25,46,8,2,6:10,4,6,3,2,5,1,21,on,off,on,on,on,on,,
1,25,46,8,2,6:40,3,2,5,4,1,6,21,on,on,on,on,on,off,,
1,25,46,8,2,7:10,1,2,3,4.5,4.5,6,21,on,on,on,off,off,off,,
1,25,46,8,2,7:40,1,3.5,6,2,5,3.5,21,on,on,on,on,on,on,,
1,25,46,8,2,8:10,5,6,1,2,3,4,21,off,off,on,on,on,on,,
1,25,46,8,2,8:40,1,2,5,4,6,3,21,on,on,on,on,on,on,,
1,25,46,8,2,0:20,6,2,5,3,4,1,21,off,on,on,on,on,on,,
1,25,46,8,2,0:50,5,6,1.5,3,4,1.5,21,on,off,on,on,on,on,,
1,25,46,8,2,1:20,2,6,1,3,5,4,21,on,off,on,on,on,on,,
1,25,46,8,2,,32,38,33,33.5,38.5,35,210,0.8,0.6,1,0.8,0.9,0.7,,
1,25,46,8,3,5:40,4,5,3,1,2,6,21,on,off,on,on,on,off,,camera fail; only 1 video
1,25,46,8,3,6:10,6,4,3,2,5,1,21,off,on,on,on,off,on,,
1,25,46,8,3,6:40,3,5,2,6,4,1,21,on,off,on,off,off,on,,
1,25,46,8,3,7:10,5,4,2,6,1,3,21,on,on,on,on,on,on,,
1,25,46,8,3,7:40,5,2,3,1,6,4,21,off,on,on,on,off,on,,
1,25,46,8,3,8:10,4,6,2.5,1,5,2.5,21,on,off,on,on,on,on,,
1,25,46,8,3,0:15,4,1,5,2,6,3,21,off,on,off,on,off,off,,
1,25,46,8,3,0:45,3,2,5,1,4,6,21,on,on,off,on,off,off,,
1,25,46,8,3,1:15,5,2,6,1,4,3,21,on,on,off,on,on,on,,
1,25,46,8,3,1:45,3,2,5,1,6,4,21,on,on,off,on,off,on,,
1,25,46,8,3,,42,33,36.5,22,43,33.5,210,0.7,0.7,0.6,0.9,0.4,0.7,,
1,25,46,8,5,5:40,6,4,2,5,1,3,21,off,off,off,off,on,off,,
1,25,46,8,5,6:10,5.5,3,1,2,5.5,4,21,off,off,on,off,off,off,,
1,25,46,8,5,6:40,6,3,5,1.5,4,1.5,21,off,on,on,on,on,on,,
1,25,46,8,5,7:10,6,2,4,3,5,1,21,off,on,on,on,off,on,,
1,25,46,8,5,7:40,3,5,4,6,2,1,21,on,on,on,on,on,on,,
1,25,46,8,5,8:10,5,3,4,2,1,6,21,off,on,on,on,on,off,,
1,25,46,8,5,8:40,6,3,1,2,4,5,21,off,on,on,on,on,on,,
1,25,46,8,5,0:20,6,5,4,1,3,2,21,off,off,on,on,on,on,,
1,25,46,8,5,0:50,3.5,6,5,1,3.5,2,21,off,off,off,on,off,off,,
1,25,46,8,5,1:20,6,2,1,5,3,4,21,off,on,on,off,on,on,,
1,25,46,8,5,,53,36,31,28.5,32,29.5,210,0.1,0.6,0.8,0.7,0.7,0.6,,
1,25,46,8,6,5:40,5,6,1,4,3,2,21,on,off,on,on,on,on,,
